id;original_url;short_code;created_at;expiry_at;active;access_count
1;but vestment;innocent grounded;2025-10-15;2025-10-15;false;19121
2;silt;boastfully resource;2025-10-15;2025-10-15;true;29906
3;oof midst unless;gallery manipulate pneumonia;2025-10-15;2025-10-16;true;32370
4;plus blah;ouch whoa;2025-10-15;2025-10-16;false;18457
5;once;championship fooey lest;2025-10-16;2025-10-15;false;7956
6;tomorrow;hard-to-find pertinent phooey;2025-10-15;2025-10-16;false;31578
7;whose mask joint;oh;2025-10-15;2025-10-16;false;5852
8;breakable acceptable roger;yuck before provided;2025-10-15;2025-10-15;false;11817
9;along;accidentally;2025-10-15;2025-10-15;false;5662
10;absent never;since noted;2025-10-15;2025-10-15;false;2963
